"precinct","precinct_fe","re_fit","turnout","precinct_fe_p025","re_fit_p025","turnout_p025","precinct_fe_p975","re_fit_p975","turnout_p975"
"4401",-0.0524482384094155,-0.184573277332071,89.1464956179542,-0.0524482384094155,-0.251668394497249,70.094548889492,-0.0524482384094155,-0.122283547846175,101.647748074569
"4402",0.0991220661080509,0.0548153292526994,113.258140354852,0.0991220661080509,0.0165438903089799,90.3697452315776,0.0991220661080509,0.0906785661165534,128.179676516664
"4403",-0.212193745267457,-0.365110103480834,74.421450135529,-0.212193745267457,-0.417418369869894,60.3206472180833,-0.212193745267457,-0.266711258752098,89.1404544327904
"4404",-0.0643795368874107,-0.269472681433106,81.890388759373,-0.0643795368874107,-0.343058077581561,64.8580228766736,-0.0643795368874107,-0.186075173677833,96.131285220077
"4405",-0.272927163717025,-0.407821494799208,71.3097323883951,-0.272927163717025,-0.464329087446798,58.186664101669,-0.272927163717025,-0.30181862496433,86.063029342844
"4406",0.319763016675415,-0.00549550219162689,106.629350819189,0.319763016675415,-0.0523662890359668,89.2397480880782,0.319763016675415,0.126909364643468,139.509074562034
"4407",0.0889765418652801,0.0786395526043178,115.988826668587,0.0889765418652801,0.00304129330543978,91.9487093311601,0.0889765418652801,0.142554290255989,131.196497300128
"4408",-0.35064792610406,-0.380646594527654,73.2741376254201,-0.35064792610406,-0.421291026756814,60.5577555098658,-0.35064792610406,-0.302142587867103,86.7100150697123
"4409",0.0470601652879836,-0.350708356510143,75.501004101951,0.0470601652879836,-0.414269222731969,60.8904290507371,0.0470601652879836,-0.206136544760853,94.7019187410926
"4410",-0.236914590378308,-0.240413272789637,84.3049885362655,-0.236914590378308,-0.28297154573939,69.7723931889178,-0.236914590378308,-0.169582249324817,99.2042960874473
"4411",0.195105218758571,0.0537445718262842,113.136933263242,0.195105218758571,0.0021210395766693,92.1944669263594,0.195105218758571,0.156985323417508,136.166947468522
"4412",-0.281340595286033,-0.683226671856257,54.1429429137061,-0.281340595286033,-0.750785344981716,44.7884985337713,-0.281340595286033,-0.477474223309896,72.5869030354395
"4413",-0.117313039421262,-0.286952939498994,80.4713622385296,-0.117313039421262,-0.320945532332885,67.3121109151561,-0.117313039421262,-0.202996367736343,100.139810763964
"4414",0.060079496340016,-0.095431533629743,97.4581230354639,0.060079496340016,-0.124990870625141,79.6726041274422,0.060079496340016,0.00599072495492973,117.07827700307
"4415",0.0246194010322933,-0.157222549222342,91.6183668293588,0.0246194010322933,-0.196656695473551,75.0374316257413,0.0246194010322933,-0.0371287128466124,112.138369489226
"4416",-0.132878193011675,-0.151168545623866,92.1747070956178,-0.132878193011675,-0.238521661992815,71.2593159431228,-0.132878193011675,-0.0814300546948908,106.190612875054
