"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
"11/5/2019 8:33:25",74,"02","09","0209",31,3.43398720448515,30,85
"11/5/2019 8:33:25",75,"02","23","0223",39,3.66356164612965,44,87
"11/5/2019 8:34:17",76,"18","11","1811",33,3.49650756146648,409,75
"11/5/2019 8:34:30",77,"05","09","0509",3,1.09861228866811,102,5
"11/5/2019 8:34:34",78,"46","07","4607",8,2.07944154167984,1141,45
"11/5/2019 8:35:18",79,"60","08","6008",16,2.77258872223978,1522,75
"11/5/2019 8:37:13",80,"05","27","0527",35,3.55534806148941,120,75
"11/5/2019 8:37:25",81,"21","37","2137",1,0,484,1
"11/5/2019 8:37:37",82,"02","23","0223",38,3.63758615972639,44,80
"11/5/2019 8:38:07",83,"05","09","0509",21,3.04452243772342,102,35
"11/5/2019 8:39:12",84,"60","02","6002",27,3.29583686600433,1516,98
"11/5/2019 8:39:32",85,"38","16","3816",34,3.52636052461616,912,90
"11/5/2019 8:40:27",86,"60","09","6009",62,4.12713438504509,1523,102
"11/5/2019 8:40:47",87,"39","22","3922",18,2.89037175789616,939,90
"11/5/2019 8:41:17",88,"04","03","0403",3,1.09861228866811,75,60
"11/5/2019 8:41:47",89,"05","28","0528",34,3.52636052461616,121,93
"11/5/2019 8:41:49",90,"02","05","0205",45,3.80666248977032,26,95
"11/5/2019 8:42:10",91,"52","11","5211",31,3.43398720448515,1285,104
"11/5/2019 8:42:28",92,"15","10","1510",30,3.40119738166216,342,86
"11/5/2019 8:42:42",93,"46","02","4602",47,3.85014760171006,1136,85
"11/5/2019 8:43:00",94,"15","07","1507",53,3.97029191355212,339,102
"11/5/2019 8:43:09",95,"47","01","4701",31,3.43398720448515,1158,102
"11/5/2019 8:44:59",96,"15","14","1514",55,4.00733318523247,346,95
"11/5/2019 8:45:44",97,"08","23","0823",57,4.04305126783455,194,92
"11/5/2019 8:46:03",98,"24","02","2402",9,2.19722457733622,546,45
"11/5/2019 8:46:23",99,"08","20","0820",5,1.6094379124341,191,15
"11/5/2019 8:46:29",100,"27","11","2711",4,1.38629436111989,621,106
"11/5/2019 8:49:08",101,"08","12","0812",30,3.40119738166216,183,95
"11/5/2019 8:49:45",102,"14","10","1410",26,3.25809653802148,331,90
"11/5/2019 8:50:58",103,"31","04","3104",48,3.87120101090789,690,105
"11/5/2019 8:51:00",104,"51","03","5103",10,2.30258509299405,1249,20
"11/5/2019 8:52:31",105,"30","13","3013",58,4.06044301054642,682,105
"11/5/2019 8:52:33",106,"08","26","0826",48,3.87120101090789,197,112
"11/5/2019 8:54:09",107,"21","35","2135",27,3.29583686600433,482,105
"11/5/2019 8:54:23",108,"08","30","0830",50,3.91202300542815,201,75
"11/5/2019 8:55:45",109,"60","09","6009",55,4.00733318523247,1523,95
"11/5/2019 8:56:07",110,"08","03","0803",65,4.17438726989564,174,110
"11/5/2019 8:57:54",111,"26","22","2622",12,2.484906649788,609,75
"11/5/2019 8:58:01",112,"48","02","4802",35,3.55534806148941,1173,100
"11/5/2019 8:58:22",113,"30","07","3007",80,4.38202663467388,676,115
"11/5/2019 8:58:34",114,"15","03","1503",65,4.17438726989564,335,117
"11/5/2019 8:58:51",115,"01","08","0108",31,3.43398720448515,8,118
"11/5/2019 8:58:55",116,"09","13","0913",37,3.61091791264422,219,95
